Song Name,Chunk Number,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"Haule Haule",1,0.7671,0.4863,-11.2558,0.1527,0.4448,0,0.0948,0.7602,149.117
"Haule Haule",2,0.646,0.6881,-6.9908,0.1086,0.5248,0,0.1343,0.8356,170.6429
"Haule Haule",3,0.611,0.6944,-8.7224,0.0735,0.4005,0.4529,0.1237,0.7628,162.0315
"Haule Haule",4,0.6774,0.5722,-7.9916,0.1085,0.4764,0,0.1055,0.8032,170.578
"Haule Haule",5,0.6546,0.6874,-6.8912,0.1084,0.5417,0,0.1213,0.8151,169.8868
"Haule Haule",6,0.524,0.5639,-8.4332,0.0593,0.4928,0.034,0.1284,0.6008,144.5752
"Haule Haule",7,0.69,0.6438,-7.8426,0.0937,0.4047,0,0.1078,0.8161,156.2182
"Haule Haule",8,0.6548,0.6714,-6.5284,0.1054,0.5018,0,0.1186,0.772,169.7785
"Haule Haule",9,0.5519,0.5681,-10.4678,0.0821,0.5278,0.0075,0.162,0.6671,150.0954
"Haule Haule",1,0.7671,0.4863,-11.2558,0.1527,0.4448,0,0.0948,0.7602,149.117
"Haule Haule",2,0.646,0.6881,-6.9908,0.1086,0.5248,0,0.1343,0.8356,170.6429
"Haule Haule",3,0.611,0.6944,-8.7224,0.0735,0.4005,0.4529,0.1237,0.7628,162.0315
"Haule Haule",4,0.6774,0.5722,-7.9916,0.1085,0.4764,0,0.1055,0.8032,170.578
"Haule Haule",5,0.6546,0.6874,-6.8912,0.1084,0.5417,0,0.1213,0.8151,169.8868
"Haule Haule",6,0.524,0.5639,-8.4332,0.0593,0.4928,0.034,0.1284,0.6008,144.5752
"Haule Haule",7,0.69,0.6438,-7.8426,0.0937,0.4047,0,0.1078,0.8161,156.2182
"Haule Haule",8,0.6548,0.6714,-6.5284,0.1054,0.5018,0,0.1186,0.772,169.7785
"Haule Haule",9,0.5519,0.5681,-10.4678,0.0821,0.5278,0.0075,0.162,0.6671,150.0954
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",1,0.4679,0.3072,-12.1164,0.0387,0.6994,0.0102,0.1288,0.1922,110.9388
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",2,0.5948,0.593,-7.2545,0.0458,0.2812,0.0076,0.1271,0.2922,121.6086
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",3,0.5577,0.7297,-7.1615,0.0538,0.0692,0.0526,0.1766,0.2341,128.0844
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",5,0.5058,0.4686,-8.8263,0.0453,0.3397,0.0128,0.1249,0.1844,113.9651
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",6,0.5868,0.7319,-7.4982,0.0528,0.0581,0.0283,0.1742,0.2563,128.6742
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",7,0.5129,0.7686,-6.1448,0.0631,0.046,0.0415,0.1919,0.2626,128.3156
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",8,0.0464,0.5164,-13.0688,0.0157,0.5089,0.7837,0.1852,0.2239,64.9477
"drivers license",1,0.4541,0.1267,-17.7278,0.0641,0.8836,0.0255,0.1111,0.2149,92.0358
"drivers license",2,0.5204,0.2391,-12.5803,0.0409,0.9638,0.0095,0.1052,0.3178,132.7309
"drivers license",3,0.4898,0.2777,-11.2589,0.0383,0.928,0.0064,0.1065,0.1752,136.5818
"drivers license",4,0.6618,0.4682,-10.5104,0.1046,0.7131,0.0076,0.1006,0.4729,146.9051
"drivers license",5,0.5422,0.4773,-9.246,0.0533,0.688,0.0156,0.1078,0.2516,152.6283
"drivers license",6,0.5153,0.4701,-8.5821,0.0414,0.5231,0.0098,0.1215,0.1695,137.5692
"drivers license",7,0.497,0.2542,-12.4119,0.0397,0.7494,0.0046,0.1021,0.1703,146.7794
"drivers license",8,0.53,0.0934,-17.2467,0.0707,0.9398,0.0094,0.1006,0.2295,107.5713
"drivers license",9,0.6715,1,3.5855,0.1716,0.0904,0.8603,0.1839,0,182.4895
"Manwa Laage",1,0.5129,0.3717,-17.5635,0.0392,0.5813,0.4103,0.1119,0.6659,106.6034
"Manwa Laage",2,0.6341,0.5401,-9.0534,0.0579,0.4826,0.0082,0.1202,0.5854,165.7595
"Manwa Laage",3,0.5776,0.5726,-7.6795,0.0408,0.5539,0.0036,0.1293,0.5389,131.3967
"Manwa Laage",4,0.4764,0.4908,-11.7849,0.0295,0.4391,0.8545,0.1156,0.5373,156.4073
"Manwa Laage",5,0.5423,0.5655,-7.5187,0.0353,0.5778,0,0.1321,0.6623,152.824
"Manwa Laage",6,0.5771,0.4966,-8.8848,0.0461,0.5418,0.0057,0.1228,0.5223,111.9448
"Manwa Laage",7,0.5843,0.5489,-10.005,0.0487,0.4499,0.0028,0.1499,0.5348,95.7984
"Manwa Laage",8,0.5495,0.5847,-7.4938,0.0275,0.604,0.0078,0.1274,0.5181,135.0396
"Manwa Laage",9,0.5267,0.6256,-7.9598,0.0468,0.3235,0.0005,0.1359,0.402,155.1894
"Manwa Laage",10,0.6475,1,2.8518,0.1462,0,0.7202,0.1846,0.0383,173.4339
"Blank Space",1,0.8168,0.501,-8.5906,0.1477,0.4113,0,0.1178,0.6169,105.8089
"Blank Space",2,0.7525,0.6462,-7.1931,0.1398,0.1907,0.0011,0.1202,0.5392,125.6526
"Blank Space",3,0.6923,0.5803,-6.5561,0.0866,0.1129,0.003,0.1153,0.3941,122.0292
"Blank Space",4,0.7145,0.6583,-6.73,0.1169,0.1841,0.0027,0.131,0.5177,109.8694
"Blank Space",5,0.6604,0.6868,-6.8293,0.1112,0.1328,0.0035,0.1344,0.4157,138.8605
"Blank Space",6,0.6628,0.5203,-7.4579,0.0938,0.2577,0,0.1377,0.4817,122.0934
"Blank Space",7,0.6246,0.6647,-6.7644,0.0726,0.1849,0.0037,0.1442,0.4364,107.074
"Blank Space",8,0.5082,0.6556,-7.4475,0.0776,0.1702,0,0.1722,0.3451,123.1078
"Gallan Goodiyaan",1,0.7841,0.6106,-8.657,0.1073,0.3025,0.0388,0.1215,0.7067,115.2226
"Gallan Goodiyaan",2,0.8146,0.8109,-5.2123,0.072,0.1898,0,0.1232,0.7577,121.9589
"Gallan Goodiyaan",3,0.7473,0.8369,-4.9043,0.0572,0.2516,0.0068,0.1294,0.7628,124.5174
"Gallan Goodiyaan",4,0.8195,0.7891,-5.3435,0.0911,0.128,0.0003,0.1123,0.7337,121.6276
"Gallan Goodiyaan",5,0.7341,0.8619,-4.6484,0.055,0.3046,0,0.1431,0.8234,125.1883
"Gallan Goodiyaan",6,0.8144,0.8792,-5.4898,0.1028,0.2441,0.0544,0.1139,0.744,125.5005
"Gallan Goodiyaan",7,0.7795,0.8187,-4.8196,0.0792,0.1013,0,0.1247,0.8125,127.5838
"Gallan Goodiyaan",8,0.7971,0.8295,-5.305,0.0737,0.1911,0,0.1313,0.8801,122.4834
"Gallan Goodiyaan",9,0.6613,0.8992,-4.4933,0.0604,0.1743,0.0004,0.1629,0.849,126.2466
"Gallan Goodiyaan",10,0.647,0.8753,-5.5376,0.0641,0.1741,0.1231,0.1611,0.6998,127.8581
"Uptown Funk (feat. Bruno Mars)",1,0.8871,0.4925,-10.1277,0.2195,0.1305,0,0.1291,0.76,110.1697
"Uptown Funk (feat. Bruno Mars)",2,0.882,0.5977,-8.4185,0.1179,0.0645,0.0041,0.1169,0.7758,115.3234
"Uptown Funk (feat. Bruno Mars)",3,0.7429,0.8369,-6.284,0.0671,0.0113,0.0388,0.1615,0.7761,118.1483
"Uptown Funk (feat. Bruno Mars)",4,0.8933,0.6148,-7.5987,0.1201,0.009,0.0058,0.1209,0.7782,115.7868
"Uptown Funk (feat. Bruno Mars)",5,0.824,0.6635,-7.5628,0.0853,0.063,0.0018,0.1159,0.7573,116.0045
"Uptown Funk (feat. Bruno Mars)",6,0.7858,0.7194,-6.9848,0.0758,0,0.2429,0.1182,0.7231,113.7315
"Uptown Funk (feat. Bruno Mars)",7,0.8926,0.5788,-8.5382,0.0953,0.0384,0.0329,0.1139,0.7061,112.0434
"Uptown Funk (feat. Bruno Mars)",8,0.6915,0.8529,-5.8217,0.067,0.0346,0.0382,0.1932,0.7027,112.1996
"Uptown Funk (feat. Bruno Mars)",9,0.6351,0.9177,-5.2927,0.0842,0,0.1051,0.2194,0.581,110.3885
"Uptown Funk (feat. Bruno Mars)",1,0.8871,0.4925,-10.1277,0.2195,0.1305,0,0.1291,0.76,110.1697
"Uptown Funk (feat. Bruno Mars)",2,0.882,0.5977,-8.4185,0.1179,0.0645,0.0041,0.1169,0.7758,115.3234
"Uptown Funk (feat. Bruno Mars)",3,0.7429,0.8369,-6.284,0.0671,0.0113,0.0388,0.1615,0.7761,118.1483
"Uptown Funk (feat. Bruno Mars)",4,0.8933,0.6148,-7.5987,0.1201,0.009,0.0058,0.1209,0.7782,115.7868
"Uptown Funk (feat. Bruno Mars)",5,0.824,0.6635,-7.5628,0.0853,0.063,0.0018,0.1159,0.7573,116.0045
"Uptown Funk (feat. Bruno Mars)",6,0.7858,0.7194,-6.9848,0.0758,0,0.2429,0.1182,0.7231,113.7315
"Uptown Funk (feat. Bruno Mars)",7,0.8926,0.5788,-8.5382,0.0953,0.0384,0.0329,0.1139,0.7061,112.0434
"Uptown Funk (feat. Bruno Mars)",8,0.6915,0.8529,-5.8217,0.067,0.0346,0.0382,0.1932,0.7027,112.1996
"Uptown Funk (feat. Bruno Mars)",9,0.6351,0.9177,-5.2927,0.0842,0,0.1051,0.2194,0.581,110.3885
"Uptown Funk (feat. Bruno Mars)",1,0.8871,0.4925,-10.1277,0.2195,0.1305,0,0.1291,0.76,110.1697
"Uptown Funk (feat. Bruno Mars)",2,0.882,0.5977,-8.4185,0.1179,0.0645,0.0041,0.1169,0.7758,115.3234
"Uptown Funk (feat. Bruno Mars)",3,0.7429,0.8369,-6.284,0.0671,0.0113,0.0388,0.1615,0.7761,118.1483
"Uptown Funk (feat. Bruno Mars)",4,0.8933,0.6148,-7.5987,0.1201,0.009,0.0058,0.1209,0.7782,115.7868
"Uptown Funk (feat. Bruno Mars)",5,0.824,0.6635,-7.5628,0.0853,0.063,0.0018,0.1159,0.7573,116.0045
"Uptown Funk (feat. Bruno Mars)",6,0.7858,0.7194,-6.9848,0.0758,0,0.2429,0.1182,0.7231,113.7315
"Uptown Funk (feat. Bruno Mars)",7,0.8926,0.5788,-8.5382,0.0953,0.0384,0.0329,0.1139,0.7061,112.0434
"Uptown Funk (feat. Bruno Mars)",8,0.6915,0.8529,-5.8217,0.067,0.0346,0.0382,0.1932,0.7027,112.1996
"Uptown Funk (feat. Bruno Mars)",9,0.6351,0.9177,-5.2927,0.0842,0,0.1051,0.2194,0.581,110.3885
"Uptown Funk (feat. Bruno Mars)",1,0.8871,0.4925,-10.1277,0.2195,0.1305,0,0.1291,0.76,110.1697
"Uptown Funk (feat. Bruno Mars)",2,0.882,0.5977,-8.4185,0.1179,0.0645,0.0041,0.1169,0.7758,115.3234
"Uptown Funk (feat. Bruno Mars)",3,0.7429,0.8369,-6.284,0.0671,0.0113,0.0388,0.1615,0.7761,118.1483
"Uptown Funk (feat. Bruno Mars)",4,0.8933,0.6148,-7.5987,0.1201,0.009,0.0058,0.1209,0.7782,115.7868
"Uptown Funk (feat. Bruno Mars)",5,0.824,0.6635,-7.5628,0.0853,0.063,0.0018,0.1159,0.7573,116.0045
"Uptown Funk (feat. Bruno Mars)",6,0.7858,0.7194,-6.9848,0.0758,0,0.2429,0.1182,0.7231,113.7315
"Uptown Funk (feat. Bruno Mars)",7,0.8926,0.5788,-8.5382,0.0953,0.0384,0.0329,0.1139,0.7061,112.0434
"Uptown Funk (feat. Bruno Mars)",8,0.6915,0.8529,-5.8217,0.067,0.0346,0.0382,0.1932,0.7027,112.1996
"Uptown Funk (feat. Bruno Mars)",9,0.6351,0.9177,-5.2927,0.0842,0,0.1051,0.2194,0.581,110.3885
"Uptown Funk (feat. Bruno Mars)",1,0.8871,0.4925,-10.1277,0.2195,0.1305,0,0.1291,0.76,110.1697
"Uptown Funk (feat. Bruno Mars)",2,0.882,0.5977,-8.4185,0.1179,0.0645,0.0041,0.1169,0.7758,115.3234
"Uptown Funk (feat. Bruno Mars)",3,0.7429,0.8369,-6.284,0.0671,0.0113,0.0388,0.1615,0.7761,118.1483
"Uptown Funk (feat. Bruno Mars)",4,0.8933,0.6148,-7.5987,0.1201,0.009,0.0058,0.1209,0.7782,115.7868
"Uptown Funk (feat. Bruno Mars)",5,0.824,0.6635,-7.5628,0.0853,0.063,0.0018,0.1159,0.7573,116.0045
"Uptown Funk (feat. Bruno Mars)",6,0.7858,0.7194,-6.9848,0.0758,0,0.2429,0.1182,0.7231,113.7315
"Uptown Funk (feat. Bruno Mars)",7,0.8926,0.5788,-8.5382,0.0953,0.0384,0.0329,0.1139,0.7061,112.0434
"Uptown Funk (feat. Bruno Mars)",8,0.6915,0.8529,-5.8217,0.067,0.0346,0.0382,0.1932,0.7027,112.1996
"Uptown Funk (feat. Bruno Mars)",9,0.6351,0.9177,-5.2927,0.0842,0,0.1051,0.2194,0.581,110.3885
"Sheila Ki Jawani",1,0.7307,0.5311,-9.715,0.125,0.493,0.0203,0.146,0.7059,100.6982
"Sheila Ki Jawani",2,0.8058,0.7563,-6.7801,0.1303,0.3263,0.0055,0.1605,0.6323,142.1876
"Sheila Ki Jawani",3,0.6806,0.794,-5.8416,0.1026,0.2232,0,0.1913,0.6573,139.7817
"Sheila Ki Jawani",4,0.7076,0.7662,-5.9073,0.087,0.3378,0.004,0.1928,0.6903,135.4108
"Sheila Ki Jawani",5,0.6816,0.7374,-5.8287,0.1587,0.358,0,0.204,0.6679,146.2743
"Sheila Ki Jawani",6,0.6403,0.7438,-7.3023,0.0726,0.1595,0.0146,0.1834,0.66,122.612
"Sheila Ki Jawani",7,0.695,0.7765,-5.724,0.1184,0.3864,0,0.191,0.7167,128.5302
"Sheila Ki Jawani",8,0.7994,0.7481,-6.5219,0.1113,0.4943,0,0.1826,0.7763,132.1046
"Sheila Ki Jawani",9,0.5767,0.871,-4.8974,0.0642,0.3702,0,0.2541,0.7167,143.8373
"Sheila Ki Jawani",10,0.2105,0.5979,-10.9276,0.059,0.6088,0.2373,0.2096,0.4282,85.8888
"Sheila Ki Jawani",1,0.7307,0.5311,-9.715,0.125,0.493,0.0203,0.146,0.7059,100.6982
"Sheila Ki Jawani",2,0.8058,0.7563,-6.7801,0.1303,0.3263,0.0055,0.1605,0.6323,142.1876
