Song Name,Chunk Number,Mood
"Haule Haule",1,"Happy"
"Haule Haule",2,"Happy"
"Haule Haule",3,"Sad"
"Haule Haule",4,"Happy"
"Haule Haule",5,"Happy"
"Haule Haule",6,"Sad"
"Haule Haule",7,"Happy"
"Haule Haule",8,"Happy"
"Haule Haule",9,"Sad"
"Haule Haule",1,"Happy"
"Haule Haule",2,"Happy"
"Haule Haule",3,"Sad"
"Haule Haule",4,"Happy"
"Haule Haule",5,"Happy"
"Haule Haule",6,"Sad"
"Haule Haule",7,"Happy"
"Haule Haule",8,"Happy"
"Haule Haule",9,"Sad"
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",1,"Sad"
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",2,"Sad"
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",3,"Happy"
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",5,"Sad"
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",6,"Happy"
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",7,"Energetic"
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix",8,"Sad"
"drivers license",1,"Sad"
"drivers license",2,"Sad"
"drivers license",3,"Sad"
"drivers license",4,"Sad"
"drivers license",5,"Sad"
"drivers license",6,"Sad"
"drivers license",7,"Sad"
"drivers license",8,"Sad"
"drivers license",9,"Happy"
"Manwa Laage",1,"Sad"
"Manwa Laage",2,"Sad"
"Manwa Laage",3,"Sad"
"Manwa Laage",4,"Sad"
"Manwa Laage",5,"Happy"
"Manwa Laage",6,"Sad"
"Manwa Laage",7,"Sad"
"Manwa Laage",8,"Sad"
"Manwa Laage",9,"Sad"
"Manwa Laage",10,"Energetic"
"Blank Space",1,"Happy"
"Blank Space",2,"Happy"
"Blank Space",3,"Happy"
"Blank Space",4,"Happy"
"Blank Space",5,"Happy"
"Blank Space",6,"Happy"
"Blank Space",7,"Happy"
"Blank Space",8,"Happy"
"Gallan Goodiyaan",1,"Happy"
"Gallan Goodiyaan",2,"Happy"
"Gallan Goodiyaan",3,"Happy"
"Gallan Goodiyaan",4,"Happy"
"Gallan Goodiyaan",5,"Happy"
"Gallan Goodiyaan",6,"Happy"
"Gallan Goodiyaan",7,"Happy"
"Gallan Goodiyaan",8,"Happy"
"Gallan Goodiyaan",9,"Happy"
"Gallan Goodiyaan",10,"Energetic"
"Uptown Funk (feat. Bruno Mars)",1,"Happy"
"Uptown Funk (feat. Bruno Mars)",2,"Happy"
"Uptown Funk (feat. Bruno Mars)",3,"Energetic"
"Uptown Funk (feat. Bruno Mars)",4,"Energetic"
"Uptown Funk (feat. Bruno Mars)",5,"Happy"
"Uptown Funk (feat. Bruno Mars)",6,"Energetic"
"Uptown Funk (feat. Bruno Mars)",7,"Energetic"
"Uptown Funk (feat. Bruno Mars)",8,"Energetic"
"Uptown Funk (feat. Bruno Mars)",9,"Energetic"
"Uptown Funk (feat. Bruno Mars)",1,"Happy"
"Uptown Funk (feat. Bruno Mars)",2,"Happy"
"Uptown Funk (feat. Bruno Mars)",3,"Energetic"
"Uptown Funk (feat. Bruno Mars)",4,"Energetic"
"Uptown Funk (feat. Bruno Mars)",5,"Happy"
"Uptown Funk (feat. Bruno Mars)",6,"Energetic"
"Uptown Funk (feat. Bruno Mars)",7,"Energetic"
"Uptown Funk (feat. Bruno Mars)",8,"Energetic"
"Uptown Funk (feat. Bruno Mars)",9,"Energetic"
"Uptown Funk (feat. Bruno Mars)",1,"Happy"
"Uptown Funk (feat. Bruno Mars)",2,"Happy"
"Uptown Funk (feat. Bruno Mars)",3,"Energetic"
"Uptown Funk (feat. Bruno Mars)",4,"Energetic"
"Uptown Funk (feat. Bruno Mars)",5,"Happy"
"Uptown Funk (feat. Bruno Mars)",6,"Energetic"
"Uptown Funk (feat. Bruno Mars)",7,"Energetic"
"Uptown Funk (feat. Bruno Mars)",8,"Energetic"
"Uptown Funk (feat. Bruno Mars)",9,"Energetic"
"Uptown Funk (feat. Bruno Mars)",1,"Happy"
"Uptown Funk (feat. Bruno Mars)",2,"Happy"
"Uptown Funk (feat. Bruno Mars)",3,"Energetic"
"Uptown Funk (feat. Bruno Mars)",4,"Energetic"
"Uptown Funk (feat. Bruno Mars)",5,"Happy"
"Uptown Funk (feat. Bruno Mars)",6,"Energetic"
"Uptown Funk (feat. Bruno Mars)",7,"Energetic"
