Song Name,Artist,Final Mood,Frequency
"Haule Haule","Salim–Sulaiman, Sukhwinder Singh, Jaideep Sahni","Happy and Energetic",2
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix","Lana Del Rey, Cedric Gervais","Sad and Energetic",1
"drivers license","Olivia Rodrigo","Sad and Calm",1
"Manwa Laage","Shreya Ghoshal, Arijit Singh","Sad and Energetic",1
"Blank Space","Taylor Swift","Happy and Energetic",2
"Gallan Goodiyaan","Yashita Sharma, Manish Kumar Tipu, Farhan Akhtar, Shankar Mahadevan, Sukhwinder Singh","Happy and Energetic",1
"Uptown Funk (feat. Bruno Mars)","Mark Ronson, Bruno Mars","Happy and Energetic",5
"Sheila Ki Jawani","Vishal-Shekhar, Sunidhi Chauhan, Vishal Dadlani","Happy and Energetic",3
"Chammak Challo","Vishal-Shekhar, Akon, Hamsika Iyer, Vishal Dadlani, Niranjan Iyengar","Happy and Energetic",2
"Deva Deva (From ","Brahmastra",")",Pritam," Arijit Singh"," Amitabh Bhattacharya"," Jonita Gandhi","Sad and Calm","1"
"Tum Jo Aaye","Pritam, Rahat Fateh Ali Khan, Tulsi Kumar, Irshad Kamil","Happy and Energetic",3
"Slow Motion","Vishal-Shekhar, Shreya Ghoshal, Nakash Aziz","Happy and Calm",1
"Treat You Better","Shawn Mendes","Happy and Energetic",1
"Ek Main Aur Ekk Tu","Benny Dayal, Anushka Manchanda, Amit Trivedi","Happy and Energetic",1
"Desi Kalakaar","Yo Yo Honey Singh","Happy and Energetic",1
"Die For You","The Weeknd","Sad and Calm",2
"Kashmir Main Tu Kanyakumari","Vishal-Shekhar, Sunidhi Chauhan, Arijit Singh, Neeti Mohan","Happy and Calm",1
"Blue Eyes","Yo Yo Honey Singh","Sad and Calm",3
"Snowman - Sped Up Version","Sia, sped up nightcore","Sad and Calm",1
"Baby","Justin Bieber, Ludacris","Happy and Energetic",1
"Rain Over Me (feat. Marc Anthony)","Pitbull, Marc Anthony","Happy and Energetic",1
"DJ Got Us Fallin' In Love (feat. Pitbull)","USHER, Pitbull","Happy and Energetic",2
"Excuse Me Girl (Ambarsariya)","Arjun, Rekha Sawhney, Reality Raj, Ram Sampath","Happy and Energetic",1
"Timber","Pitbull, Kesha","Happy and Energetic",1
"Ye Ishq Hai","Pritam, Shreya Ghoshal, Irshad Kamil","Happy and Energetic",1
"Uff Teri Adaa","Shankar Mahadevan, Alyssa Mendonsa","Unknown",1
"Lat Lag Gayee","Benny Dayal, Shalmali Kholgade, Pritam","Unknown",1
"Sunny Sunny","Yo Yo Honey Singh, Neha Kakkar","Unknown",1
"Balam Pichkari","Pritam, Vishal Dadlani, Shalmali Kholgade","Unknown",1
"Badtameez Dil","Pritam, Benny Dayal, Shefali Alvares","Unknown",1
"Party On My Mind","Pritam, KK, Shefali Alvares, Yo Yo Honey Singh, Prashant Ingole","Unknown",1
